timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1642362721383,57,SearchProduct,200,OK,Thread Group 1-5,true,,18003,1,1,55,1,0,DESKTOP-AAG18PE
1642362721441,55,UserMenu,200,OK,Thread Group 1-5,true,,1646,1,1,55,1,0,DESKTOP-AAG18PE
1642362721503,44,ListSearchProducts,200,OK,Thread Group 1-5,false,"No Nodes Matched for //li/class='filter__dropdown-list'
",4455,1,1,43,1,1,DESKTOP-AAG18PE
1642362736665,267,Anasayfa,200,OK,Thread Group 1-1,true,,23755,1,1,226,1,0,DESKTOP-AAG18PE
1642362736938,163,LoginLogoutEvent,200,OK,Thread Group 1-1,true,,636,2,2,163,1,0,DESKTOP-AAG18PE
1642362737102,77,UserMenu,200,OK,Thread Group 1-1,true,,1646,2,2,77,1,0,DESKTOP-AAG18PE
1642362737181,50,HomePageProducts,200,OK,Thread Group 1-1,true,,4065,2,2,50,1,0,DESKTOP-AAG18PE
1642362737232,64,SuggestProduct,200,OK,Thread Group 1-1,true,,1375,2,2,64,1,0,DESKTOP-AAG18PE
1642362737073,250,Anasayfa,200,OK,Thread Group 1-2,true,,23755,2,2,221,1,0,DESKTOP-AAG18PE
1642362737298,69,SearchProduct,200,OK,Thread Group 1-1,true,,17967,2,2,68,1,0,DESKTOP-AAG18PE
1642362737368,50,UserMenu,200,OK,Thread Group 1-1,true,,1686,2,2,49,1,0,DESKTOP-AAG18PE
1642362737418,72,ListSearchProducts,200,OK,Thread Group 1-1,true,"No Nodes Matched for //li/@class='filter__dropdown-list'
",9344,3,3,71,1,0,DESKTOP-AAG18PE
1642362737324,206,LoginLogoutEvent,200,OK,Thread Group 1-2,true,,636,3,3,206,1,0,DESKTOP-AAG18PE
1642362737508,75,Anasayfa,200,OK,Thread Group 1-1,true,,23755,3,3,68,1,0,DESKTOP-AAG18PE
1642362737531,85,UserMenu,200,OK,Thread Group 1-2,true,,1646,3,3,85,1,0,DESKTOP-AAG18PE
1642362737617,46,HomePageProducts,200,OK,Thread Group 1-2,true,,4065,3,3,46,1,0,DESKTOP-AAG18PE
1642362737664,41,SuggestProduct,200,OK,Thread Group 1-2,true,,725,3,3,41,1,0,DESKTOP-AAG18PE
1642362737706,60,SearchProduct,200,OK,Thread Group 1-2,true,,18003,3,3,58,1,0,DESKTOP-AAG18PE
1642362737468,301,Anasayfa,200,OK,Thread Group 1-3,false,"The operation lasted too long: It took 301 milliseconds, but should not have lasted longer than 300 milliseconds.",23755,3,3,271,1,1,DESKTOP-AAG18PE
1642362737583,195,LoginLogoutEvent,200,OK,Thread Group 1-1,true,,636,3,3,195,1,0,DESKTOP-AAG18PE
1642362737767,42,UserMenu,200,OK,Thread Group 1-2,true,,1646,3,3,42,1,0,DESKTOP-AAG18PE
1642362737779,48,UserMenu,200,OK,Thread Group 1-1,true,,1646,3,3,48,1,0,DESKTOP-AAG18PE
1642362737811,46,ListSearchProducts,200,OK,Thread Group 1-2,false,"No Nodes Matched for //li/@class='filter__dropdown-list'
",4455,3,3,45,1,1,DESKTOP-AAG18PE
1642362737829,50,HomePageProducts,200,OK,Thread Group 1-1,true,,4065,4,4,50,1,0,DESKTOP-AAG18PE
1642362737879,51,SuggestProduct,200,OK,Thread Group 1-1,true,,725,4,4,51,1,0,DESKTOP-AAG18PE
1642362737872,63,Anasayfa,200,OK,Thread Group 1-2,true,,23755,4,4,59,1,0,DESKTOP-AAG18PE
1642362737771,207,LoginLogoutEvent,200,OK,Thread Group 1-3,true,,876,4,4,207,1,0,DESKTOP-AAG18PE
1642362737931,60,SearchProduct,200,OK,Thread Group 1-1,true,,18003,4,4,59,1,0,DESKTOP-AAG18PE
1642362737979,45,UserMenu,200,OK,Thread Group 1-3,true,,1646,4,4,45,1,0,DESKTOP-AAG18PE
1642362737991,53,UserMenu,200,OK,Thread Group 1-1,true,,1646,4,4,53,1,0,DESKTOP-AAG18PE
1642362738025,65,HomePageProducts,200,OK,Thread Group 1-3,true,,4065,4,4,64,1,0,DESKTOP-AAG18PE
1642362738045,56,ListSearchProducts,200,OK,Thread Group 1-1,false,"No Nodes Matched for //li/@class='filter__dropdown-list'
",4455,4,4,56,1,1,DESKTOP-AAG18PE
1642362737867,252,Anasayfa,200,OK,Thread Group 1-4,true,,23755,3,3,216,1,0,DESKTOP-AAG18PE
